"","Wardcode","Population2011Census.x","Crimerate","Openspace","hhSocialRented","JobSeekers","Noqual","Carsperhousehold","districtcode.x","MyID","Wardname","Population2011Census.y","GeneralFertilityRate","Malelifeexpectancy","Femalelifeexpectancy","District","Districtcode","districtcode.y","Children","Greaterthan65","nonwhite","NotBorninUK","NotEnglishspeaking"
"443","00AJGJ",14539,103.8,34.2,20.2,5.9,15.1,0.8,"00AJ","00AJ14539","Ealing - Elthorne",14539,71.4,74.8,85.5,"Ealing"," 00AJ","00AJ",19.6987413164592,9.7,34.9,40.6,16.9
"444","00BAGH",9090,36.5,34.3,4.1,3.1,20.9,1.3,"00BA","00BA9090","Merton - Lower Morden",9090,67.7,80.1,86.6,"Merton"," 00BA","00BA",19.1859185918592,15.2,21.9,22.1,5.9
"445","00BHGS",13368,89.4,34.4,30.9,9.8,20.8,0.7,"00BH","00BH13368","Waltham Forest - Wood Street",13368,102.1,75.3,83.2,"Waltham Forest"," 00BH","00BH",23.3019150209455,9.2,50.4,38.7,14.4
"446","00AJGS",15183,95.4,34.4,24.2,7.8,21.5,0.9,"00AJ","00AJ15183","Ealing - Northolt Mandeville",15183,91.7,77.6,85,"Ealing"," 00AJ","00AJ",23.5065533820721,10.7,51.7,44.1,19.5
"447","00AXGG",10107,71.6,34.5,31.2,4.9,17.7,0.8,"00AX","00AX10107","Kingston upon Thames - Norbiton",10107,67.4,76.2,78.2,"Kingston upon Thames"," 00AX","00AX",18.7691698822598,9.1,31,34.1,13.6
"448","00BJGQ",14842,104.9,34.5,7.5,1.3,6.3,0.8,"00BJ","00BJ14842","Wandsworth - Thamesfield",14842,63.7,81.4,82.9,"Wandsworth"," 00BJ","00BJ",15.1731572564344,8.8,12.3,31.4,5.8
"449","00ASGZ",12048,106.1,34.5,12.7,2.9,16.8,1.3,"00AS","00AS12048","Hillingdon - Uxbridge North",12048,63.1,77.2,83,"Hillingdon"," 00AS","00AS",17.886786188579,15.9,30.2,23.4,5.9
"450","00AEHB",14950,82.5,34.6,15,6.1,18.1,0.9,"00AE","00AE14950","Brent - Sudbury",14950,115,80.5,84.8,"Brent"," 00AE","00AE",20.6622073578595,10.5,77.3,62.2,28.4
"451","00AZGE",14039,106.9,34.6,28.8,4.7,13.2,0.7,"00AZ","00AZ14039","Lewisham - Blackheath",14039,56.8,77.4,82.4,"Lewisham"," 00AZ","00AZ",18.3845003205357,10.9,30.2,29.3,7.4
"452","00AWGF",8937,129,34.6,67.8,12.1,22.5,0.4,"00AW","00AW8937","Kensington and Chelsea - Golborne",8937,51.9,85.8,86,"Kensington and Chelsea"," 00AW","00AW",NA,NA,NA,NA,NA
"453","00AJGD",14558,52.3,34.8,21.5,5.6,13.1,0.9,"00AJ","00AJ14558","Ealing - Cleveland",14558,59.1,76.8,85.9,"Ealing"," 00AJ","00AJ",21.7062783349361,11.9,36.9,39.6,15.1
